link_id,points_count,stops_computecount,sig_mean_mean,Score,name,geometry,Score_Bus,Score_Rail
cluster13_secondary_2_1,7,95,1.8514652014652013,4.960191295364566,Cook Road,"LINESTRING (-84.30876017715573 33.71538696698413, -84.30874815995595 33.71538238748559, -84.30873614275752 33.71537780798596, -84.30872412556045 33.71537322848522, -84.30871200604453 33.715368886544084, -84.30869976359982 33.71536483001334, -84.30868752115633 33.71536077348143, -84.30867527871403 33.71535671694836, -84.30866303627299 33.71535266041411, -84.30865079383317 33.715348603878724, -84.30863855139457 33.71534454734217, -84.3086263089572 33.71534049080446, -84.30861406652105 33.71533643426556, -84.30860182408614 33.71533237772553, -84.30858958165243 33.71532832118433, -84.30857733921995 33.715324264641964, -84.30856487624935 33.715320647073774, -84.3085523152706 33.715317224588055, -84.30853975678201 33.71531379530881, -84.30852720347869 33.71531035180911, -84.30851464785232 33.7153069138942, -84.30850209222706 33.715303475978075, -84.30848953660288 33.71530003806072, -84.30847698097975 33.715296600142125, -84.30846442535771 33.7152931622223, -84.30845186973679 33.715289724301236, -84.30843931411694 33.715286286378934, -84.30842675849814 33.715282848455416, -84.30841420288044 33.715279410530684, -84.30840162496128 33.71527604700838, -84.30838889683434 33.71527318459692, -84.30837616870835 33.71527032218419, -84.30836344058328 33.71526745977019, -84.30835071245916 33.715264597354896, -84.30833798433596 33.71526173493834, -84.30832525621369 33.7152588725205, -84.30831252809236 33.71525601010143, -84.30829979997198 33.71525314768104, -84.30828707185248 33.7152502852594, -84.30827434373394 33.71524742283648, -84.30826161561633 33.71524456041229, -84.30824888749966 33.71524169798681, -84.30823615938391 33.715238835560086, -84.30822330040316 33.71523635201893, -84.30821037797737 33.71523405216663, -84.30819745555239 33.71523175231303, -84.30818453312818 33.71522945245809, -84.30817158093451 33.71522731243487, -84.30815858281942 33.715225418961026, -84.308145584705 33.715223525485875)",4.960191295364566,0.0
cluster13_secondary_3_2,7,63,1.8055555555555556,4.157445306794805,Flat Shoals Road,"LINESTRING (-84.30535470225398 33.71484005627118, -84.30569487373572 33.71529978828613)",4.157445306794805,0.0
cluster13_tertiary_1_1,7,112,1.828125,5.179468144602771,2nd Avenue,"LINESTRING (-84.3085749959326 33.719545366831404, -84.3085 33.71969300000001, -84.308415 33.719887, -84.3084002 33.71992469999999, -84.30835038006134 33.72005185921809)",5.179468144602771,0.0
cluster13_tertiary_1_10,7,84,1.75,4.488661375557689,2nd Avenue,"LINESTRING (-84.30790196532931 33.72401441125022, -84.3079038 33.724342099999994, -84.30790501454807 33.724554588515794)",4.488661375557689,0.0
cluster13_tertiary_1_11,7,105,1.75,4.852030263919617,2nd Avenue,"LINESTRING (-84.30791887604806 33.72294911139702, -84.30791152397738 33.7234894885922)",4.852030263919617,0.0
cluster13_tertiary_1_4,8,96,1.6853146853146854,4.322746819218394,2nd Avenue,"LINESTRING (-84.308112298726 33.72711770786618, -84.308106 33.72710699999999, -84.3080447 33.7269852, -84.3080058 33.726869099999995, -84.3079853 33.7268039, -84.3079584 33.7267032, -84.30795210000001 33.72667969999999, -84.30793845659791 33.72659872939585)",4.322746819218394,0.0
cluster13_tertiary_1_5,7,73,1.7016483516483516,4.145413602176212,2nd Avenue,"LINESTRING (-84.3079146 33.7263119, -84.307914 33.726194199999995, -84.307895 33.725779)",4.145413602176212,0.0
cluster13_tertiary_1_7,7,102,1.7978316326530612,4.935834802179227,2nd Avenue,"LINESTRING (-84.30791748895143 33.721647084655324, -84.307917 33.72180199999999, -84.30792600000001 33.72206499999999, -84.30792713088731 33.72218713545706)",4.935834802179227,0.0
cluster13_tertiary_1_8,7,63,1.7222222222222225,3.9655632157119687,2nd Avenue,"LINESTRING (-84.30790052486151 33.725363162551474, -84.3079051752006 33.72482283743804)",3.9655632157119687,0.0
cluster13_tertiary_2_3,7,63,1.5555555555555556,3.5817990335462935,Brannen Road Southeast,"LINESTRING (-84.32373714636272 33.715915222287045, -84.3237038 33.7158725, -84.3235242 33.71565479999999, -84.32336981252665 33.7154708228959)",3.5817990335462935,0.0
cluster13_tertiary_2_4,7,56,1.5625,3.433163402087843,Brannen Road Southeast,"LINESTRING (-84.32227911559993 33.71502441281967, -84.322196 33.715014000000004, -84.32164224177478 33.71493253687662)",3.433163402087843,0.0
cluster13_tertiary_2_5,8,88,1.5909090909090908,3.953260579208182,Brannen Road Southeast,"LINESTRING (-84.31974993508028 33.71470119967489, -84.3198552 33.7146969, -84.3199976 33.71470420000001, -84.3201547 33.7147174, -84.3203116 33.7147393, -84.32039264242093 33.71475144332842)",3.953260579208182,0.0
cluster13_tertiary_2_6,6,46,1.6084656084656086,3.4734561471080703,Boulder Road Southeast,"LINESTRING (-84.31679480513314 33.71597568534632, -84.316327 33.7159726)",3.4734561471080703,0.0
cluster13_tertiary_3_2,7,46,1.9017857142857142,3.8499403199805373,Fayetteville Road Southeast,"LINESTRING (-84.32118737042859 33.726911516839984, -84.321143 33.726957999999996, -84.32081861034298 33.72735564019879)",3.8499403199805373,0.0
